Date,Open,High,Low,Close,Adj Close,Volume
2019-01-08,4.75,4.99,4.4,4.7,4.7,34700
2019-01-09,4.2,6.25,4.0,5.72,5.72,97200
2019-01-10,5.74,7.9,5.35,5.35,5.35,223600
2019-01-11,5.34,5.71,5.3,5.3,5.3,32200
2019-01-14,5.3,5.35,4.04,4.16,4.16,48100
2019-01-15,3.64,3.985,3.3,3.89,3.89,37300
2019-01-16,3.56,4.05,3.56,3.84,3.84,47400
2019-01-17,3.9,4.0,3.35,3.7,3.7,37800
2019-01-18,3.41,3.7,3.41,3.65,3.65,1700
2019-01-22,3.55,3.7,3.5,3.7,3.7,1600
2019-01-23,3.59,3.77,3.36,3.56,3.56,31800
2019-01-24,3.61,3.71,3.5,3.68,3.68,20900
2019-01-25,3.67,3.67,3.35,3.35,3.35,8600
2019-01-28,3.25,3.36,3.19,3.19,3.19,7700
2019-01-29,3.19,3.3,3.08,3.19,3.19,17200
2019-01-30,3.16,4.16,3.16,3.56,3.56,92600
2019-01-31,3.56,3.74,3.56,3.6,3.6,9400
2019-02-01,3.6,4.94,3.6,4.646,4.646,234200
2019-02-04,7.04,7.4,4.919,5.13,5.13,593400
2019-02-05,5.14,5.506,4.04,4.04,4.04,51700
2019-02-06,4.1,4.319,4.05,4.13,4.13,6600
2019-02-07,4.12,4.308,3.7,3.95,3.95,5100
2019-02-08,3.95,4.086,3.8,3.839,3.839,3900
2019-02-11,3.81,4.128,3.7,3.7,3.7,14900
2019-02-12,3.61,4.07,3.61,3.819,3.819,4700
2019-02-13,3.8,4.051,3.8,3.839,3.839,1900
2019-02-14,3.85,4.01,3.85,3.86,3.86,6100
2019-02-15,3.87,3.99,3.87,3.99,3.99,4500
2019-02-19,4.1,4.1,4.05,4.05,4.05,8100
2019-02-20,4.19,4.19,3.835,3.975,3.975,3400
2019-02-21,3.85,3.99,3.8,3.877,3.877,6600
2019-02-22,3.8,3.9,3.8,3.9,3.9,1800
2019-02-25,4.13,4.55,3.9,4.01,4.01,18300
2019-02-26,4.0,4.0,4.0,4.0,4.0,200
2019-02-27,3.99,4.07,3.91,3.91,3.91,5000
2019-02-28,4.35,4.35,3.9,4.16,4.16,4300
2019-03-01,4.117,4.117,4.061,4.1,4.1,1600
2019-03-04,4.09,4.09,3.9,3.98,3.98,7800
2019-03-05,4.2,4.999,4.18,4.268,4.268,52600
2019-03-06,4.34,4.47,4.11,4.13,4.13,18300
2019-03-07,4.35,4.36,4.05,4.28,4.28,4800
2019-03-08,4.24,4.25,3.9,3.92,3.92,8800
2019-03-11,3.92,3.98,3.92,3.92,3.92,900
2019-03-12,3.72,3.9,3.71,3.75,3.75,17300
2019-03-13,3.73,4.08,3.7,3.8,3.8,11600
2019-03-14,3.75,3.779,3.739,3.779,3.779,900
2019-03-15,3.78,3.853,3.78,3.79,3.79,2700
2019-03-18,3.72,3.748,3.711,3.711,3.711,2500
2019-03-19,3.72,3.839,3.71,3.839,3.839,700
2019-03-20,3.83,4.05,3.71,3.71,3.71,6800
2019-03-21,3.759,3.759,3.759,3.759,3.759,200
2019-03-22,3.8,3.8,3.76,3.76,3.76,3000
2019-03-25,3.71,4.054,3.58,3.58,3.58,5600
2019-03-26,3.747,3.747,3.5,3.52,3.52,5100
2019-03-27,3.641,3.702,3.5,3.525,3.525,5300
2019-03-28,3.45,3.5,3.45,3.46,3.46,1600
2019-03-29,3.81,3.98,3.46,3.46,3.46,2200
2019-04-01,3.81,3.81,3.6,3.6,3.6,1500
2019-04-02,3.573,3.811,3.573,3.7,3.7,6000
2019-04-03,3.7,4.2,3.55,3.62,3.62,16300
2019-04-04,3.55,3.882,3.55,3.812,3.812,800
2019-04-05,3.8,3.8,3.52,3.55,3.55,6100
2019-04-08,3.55,3.684,3.18,3.473,3.473,24200
2019-04-09,3.4,3.41,3.22,3.22,3.22,8800
2019-04-10,3.25,3.25,3.1,3.113,3.113,2200
2019-04-11,3.17,3.6,3.17,3.3,3.3,15500
2019-04-12,3.32,3.45,3.31,3.31,3.31,1300
2019-04-15,3.31,3.414,3.21,3.3,3.3,6700
2019-04-16,3.3,3.317,3.3,3.3,3.3,1700
2019-04-17,3.33,4.0,3.15,3.22,3.22,33200
2019-04-18,3.403,3.403,3.071,3.25,3.25,17300
2019-04-22,3.25,3.382,3.176,3.36,3.36,1600
2019-04-23,3.367,3.4,3.266,3.266,3.266,2800
2019-04-24,3.25,3.385,3.22,3.38,3.38,1400
2019-04-25,3.236,3.344,3.16,3.17,3.17,4700
2019-04-26,3.24,3.24,3.24,3.24,3.24,100
2019-04-29,3.24,3.24,3.24,3.24,3.24,100
2019-04-30,3.1,3.11,3.0,3.1,3.1,10100
2019-05-01,3.25,3.25,3.25,3.25,3.25,400
2019-05-02,3.02,3.02,3.02,3.02,3.02,200
2019-05-03,3.02,3.02,3.01,3.01,3.01,300
2019-05-06,2.71,2.75,2.71,2.75,2.75,200
2019-05-07,2.85,2.85,2.735,2.8,2.8,1400
2019-05-08,2.88,2.88,2.88,2.88,2.88,200
2019-05-09,2.83,2.897,2.83,2.897,2.897,400
2019-05-10,2.897,2.897,2.897,2.897,2.897,0
2019-05-13,3.12,3.12,2.87,2.97,2.97,2500
2019-05-14,2.8,3.04,2.763,2.95,2.95,3900
2019-05-15,3.24,3.24,3.24,3.24,3.24,100
2019-05-16,3.08,3.08,2.99,2.99,2.99,2400
2019-05-17,3.09,3.09,3.09,3.09,3.09,100
2019-05-20,2.75,2.928,2.51,2.58,2.58,4300
2019-05-21,2.86,2.86,2.86,2.86,2.86,100
2019-05-22,2.86,2.86,2.86,2.86,2.86,0
2019-05-23,2.35,2.35,2.29,2.29,2.29,600
2019-05-24,2.35,2.94,2.33,2.61,2.61,5900
2019-05-28,2.61,2.61,2.61,2.61,2.61,100
2019-05-29,2.61,2.61,2.61,2.61,2.61,0
2019-05-30,2.56,2.65,2.45,2.61,2.61,1900
2019-05-31,2.67,2.67,2.46,2.46,2.46,3200
2019-06-03,2.9,2.9,2.85,2.85,2.85,1300
2019-06-04,2.211,2.34,2.2,2.211,2.211,1500
2019-06-05,2.29,2.29,2.29,2.29,2.29,100
2019-06-06,2.29,2.29,2.29,2.29,2.29,100
2019-06-07,2.23,2.23,2.23,2.23,2.23,100
2019-06-10,2.23,2.23,2.23,2.23,2.23,500
2019-06-11,2.0,2.0,2.0,2.0,2.0,500
2019-06-12,2.1,2.1,2.1,2.1,2.1,300
2019-06-13,2.1,2.35,2.01,2.35,2.35,1700
2019-06-14,2.6,2.98,2.15,2.68,2.68,18500
2019-06-17,2.68,2.68,2.68,2.68,2.68,100
2019-06-18,2.35,3.1,2.35,3.05,3.05,6200
2019-06-19,2.5,2.95,2.5,2.95,2.95,4500
2019-06-20,2.95,3.31,2.64,2.65,2.65,4800
2019-06-21,2.79,2.79,2.21,2.21,2.21,600
2019-06-24,2.35,2.52,2.32,2.52,2.52,3500
2019-06-25,2.76,3.49,2.26,2.99,2.99,41600
2019-06-26,2.7,2.86,2.631,2.86,2.86,9000
2019-06-27,2.9,2.9,2.75,2.86,2.86,5900
2019-06-28,2.5,2.596,2.455,2.541,2.541,3300
2019-07-01,2.61,2.738,2.4,2.7,2.7,3700
2019-07-02,2.86,4.65,2.6,2.85,2.85,1288900
2019-07-03,2.52,2.88,2.505,2.74,2.74,45500
2019-07-05,2.6,2.771,2.51,2.609,2.609,5600
2019-07-08,2.6,2.6,2.5,2.5,2.5,10500
2019-07-09,2.5,2.58,2.45,2.58,2.58,2700
2019-07-10,2.61,2.61,2.5,2.5,2.5,500
2019-07-11,2.443,2.61,2.222,2.464,2.464,3700
2019-07-12,2.59,2.976,2.59,2.8,2.8,4200
2019-07-15,2.82,2.99,2.48,2.8,2.8,2400
2019-07-16,2.831,2.98,2.831,2.98,2.98,700
2019-07-17,2.94,2.94,2.94,2.94,2.94,100
2019-07-18,2.73,2.88,2.547,2.68,2.68,2400
2019-07-19,2.82,2.82,2.513,2.513,2.513,1500
2019-07-22,2.75,2.816,2.676,2.676,2.676,500
2019-07-23,2.82,2.94,2.82,2.92,2.92,1300
2019-07-24,2.988,2.99,2.94,2.99,2.99,1200
2019-07-25,2.68,2.9,2.642,2.8,2.8,1700
2019-07-26,2.8,2.9,2.8,2.826,2.826,1000
2019-07-29,2.83,3.0,2.83,2.853,2.853,1100
2019-07-30,2.83,3.0,2.83,2.853,2.853,300
2019-07-31,3.0,3.0,2.95,2.95,2.95,1700
2019-08-01,2.655,3.032,2.655,2.98,2.98,800
2019-08-02,2.603,2.76,2.603,2.76,2.76,1600
2019-08-05,3.032,3.032,2.5,2.85,2.85,5600
2019-08-06,2.915,2.925,2.51,2.85,2.85,4900
2019-08-07,3.0,3.0,2.7,2.85,2.85,17100
2019-08-08,2.7,2.99,2.668,2.87,2.87,10800
2019-08-09,3.0,3.0,2.65,2.87,2.87,6100
2019-08-12,2.542,2.96,2.542,2.86,2.86,2900
2019-08-13,3.0,3.0,2.85,2.882,2.882,600
2019-08-14,2.98,2.98,2.98,2.98,2.98,200
2019-08-15,2.98,2.98,2.98,2.98,2.98,100
2019-08-16,2.513,2.83,2.513,2.83,2.83,1500
2019-08-19,2.83,2.83,2.83,2.83,2.83,0
2019-08-20,2.83,2.83,2.83,2.83,2.83,0
2019-08-21,2.6,2.79,2.4,2.562,2.562,7100
2019-08-22,2.6,2.747,2.55,2.747,2.747,5700
2019-08-23,2.45,2.68,2.45,2.62,2.62,2000
2019-08-26,2.85,2.85,2.513,2.75,2.75,400
2019-08-27,2.513,2.52,2.275,2.49,2.49,15400
2019-08-28,2.94,6.17,2.896,3.46,3.46,3361300
2019-08-29,3.24,3.7,2.83,3.55,3.55,253200
2019-08-30,3.193,3.3,2.73,2.9,2.9,32700
2019-09-03,2.92,2.92,2.7,2.77,2.77,40200
2019-09-04,2.77,2.88,2.7,2.705,2.705,25400
2019-09-05,2.691,2.74,2.6,2.6,2.6,12000
2019-09-06,2.73,2.73,2.52,2.653,2.653,2900
2019-09-09,2.6,2.679,2.6,2.61,2.61,6900
2019-09-10,2.61,2.839,2.6,2.839,2.839,10600
2019-09-11,2.8,2.8,2.61,2.61,2.61,9700
2019-09-12,3.26,3.8,2.68,3.08,3.08,1569400
2019-09-13,2.89,2.99,2.66,2.81,2.81,93600
2019-09-16,2.722,3.0,2.722,3.0,3.0,23200
2019-09-17,2.71,2.99,2.37,2.86,2.86,19200
2019-09-18,2.88,2.9,2.76,2.85,2.85,4500
2019-09-19,2.85,2.85,2.8,2.8,2.8,4900
2019-09-20,2.643,2.845,2.643,2.76,2.76,6800
2019-09-23,2.76,2.84,2.76,2.78,2.78,16400
2019-09-24,2.8,2.815,2.643,2.815,2.815,9400
2019-09-25,2.82,2.84,2.75,2.778,2.778,16500
2019-09-26,2.776,2.87,2.73,2.79,2.79,3900
2019-09-27,2.8,2.82,2.79,2.82,2.82,1200
2019-09-30,2.75,2.84,2.73,2.84,2.84,5200
2019-10-01,2.75,2.75,2.63,2.64,2.64,2700
2019-10-02,2.64,2.794,2.64,2.66,2.66,1400
2019-10-03,2.83,2.85,2.67,2.67,2.67,7500
2019-10-04,2.777,2.799,2.777,2.799,2.799,1000
2019-10-07,2.8,2.83,2.68,2.68,2.68,3500
2019-10-08,2.863,2.865,2.67,2.67,2.67,1200
2019-10-09,2.79,2.8,2.54,2.615,2.615,2100
2019-10-10,2.79,2.8,2.67,2.67,2.67,700
2019-10-11,2.792,2.792,2.68,2.68,2.68,3200
2019-10-14,2.74,2.75,2.65,2.66,2.66,8300
2019-10-15,2.784,3.01,2.755,2.82,2.82,51200
2019-10-16,2.937,3.4,2.71,2.782,2.782,52600
2019-10-17,2.713,2.79,2.59,2.71,2.71,4400
2019-10-18,2.75,2.9,2.67,2.76,2.76,19800
