Date,Open,High,Low,Close,Adj Close,Volume
2023-09-27,7.0,7.348,6.16,6.2,6.2,2328900
2023-09-28,5.25,5.63,4.52,4.7,4.7,493800
2023-09-29,4.7,4.99,4.7,4.9,4.9,141800
2023-10-02,5.18,5.92,4.84,5.62,5.62,857000
2023-10-03,5.95,5.95,5.51,5.76,5.76,269500
2023-10-04,5.31,6.0,5.31,6.0,6.0,61700
2023-10-05,5.8,5.96,5.72,5.82,5.82,14300
2023-10-06,5.7,6.48,5.7,6.024,6.024,104200
2023-10-09,6.05,6.05,5.9,5.95,5.95,10800
2023-10-10,5.905,6.09,5.81,5.84,5.84,18400
2023-10-11,5.8,5.8,5.63,5.69,5.69,16000
2023-10-12,5.7,5.7,5.48,5.65,5.65,25800
2023-10-13,5.637,5.637,5.4,5.4,5.4,8900
2023-10-16,5.41,5.55,5.41,5.43,5.43,2300
2023-10-17,5.43,5.65,5.35,5.37,5.37,5000
2023-10-18,5.32,5.65,5.26,5.45,5.45,49200
2023-10-19,5.59,5.741,5.353,5.41,5.41,20800
2023-10-20,5.374,5.526,5.35,5.35,5.35,8100
2023-10-23,5.47,5.67,5.35,5.37,5.37,12700
2023-10-24,5.38,5.75,5.33,5.36,5.36,17800
2023-10-25,5.366,5.366,5.366,5.366,5.366,300
2023-10-26,5.66,5.79,5.28,5.32,5.32,2600
2023-10-27,5.35,5.79,5.35,5.45,5.45,5300
2023-10-30,5.36,5.48,4.869,5.293,5.293,20000
2023-10-31,5.24,5.5,5.065,5.473,5.473,17100
2023-11-01,5.3,5.5,5.3,5.4,5.4,8700
2023-11-02,5.3,5.81,4.993,5.724,5.724,35300
2023-11-03,5.4,5.57,5.35,5.5,5.5,22300
2023-11-06,5.52,5.7,5.41,5.6,5.6,13200
2023-11-07,5.6,5.6,5.6,5.6,5.6,0
2023-11-08,5.625,5.8,5.575,5.7,5.7,17900
2023-11-09,5.948,6.0,5.73,5.81,5.81,16200
2023-11-10,5.644,5.7,5.61,5.61,5.61,2000
2023-11-13,5.58,5.85,5.58,5.83,5.83,10500
2023-11-14,5.85,6.6494,5.85,6.4,6.4,29424
